title,year,genre,plot,runtime (minutes),RT rating (%),imdb rating
North by Northwest,1959,"Adventure, Drama, Mystery","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",136,97,8.3
The Holdovers,2023,"Comedy, Drama","In 1970, a curmudgeonly history teacher at a New England boarding school remains on campus during Christmas break to supervise held over students, and ends up forming an unlikely bond with a brainy but damaged troublemaker.",133,97,7.9
Double Indemnity,1944,"Crime, Drama, Film-Noir","An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",107,97,8.3
It Happened One Night,1934,"Comedy, Romance",A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.,105,98,8.1
The Wild Robot,2024,"Animation, Sci-Fi","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",102,96,8.2
All About My Mother,1999,"Comedy, Drama, Romance","A comedy-drama about a bereaved mother, an overwrought actress, her jealous lover, and a pregnant nun.",101,98,7.8
The Kid,1921,"Comedy, Drama, Family","The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",68,100,8.2
Bicycle Thieves,1948,Drama,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",89,99,8.2
Short Term 12,2013,Drama,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,96,98,7.9
Get Out,2017,"Horror, Mystery, Thriller","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",104,98,7.8
The 400 Blows,1959,"Crime, Drama","A young boy, left without attention, delves into a life of petty crime.",99,99,8
Metropolis,1927,"Drama, Sci-Fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",153,97,8.3
"Crouching Tiger, Hidden Dragon",2000,"Action, Adventure, Drama","Two legendary warriors, Shu Lien and Mu Bai, face a dilemma between their forbidden love and the traditions they are sworn to protect, as the modern world threatens to change everything they know.",120,98,7.9
The Wages of Fear,1953,"Adventure, Drama, Thriller","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",156,100,8.1
Grave of the Fireflies,1988,"Animation, Drama, War","Centers on the struggle of two orphaned Japanese children, 14 year-old Seita and his four year-old sister Setsuko, during World War II.",88,100,8.5
Argo,2012,"Biography, Drama, History","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",120,96,7.7
Portrait of a Lady on Fire,2019,"Drama, Romance","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",122,97,8.1
Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure, Thriller",Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,163,96,7.6
Before Sunrise,1995,"Comedy, Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",101,100,8.1
The Last Picture Show,1971,"Drama, Romance","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",118,98,8
The Dark Knight,2008,"Action, Crime, Drama","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",152,94,9
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",120,97,8.1
The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,126,100,8.2
The Big Sick,2017,"Comedy, Drama, Romance","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",120,98,7.5
"The Good, the Bad and the Ugly",1966,"Adventure, Drama, Western",A cemetery keeper and security guard team up to foil the activities of a syndicate that made the cemetery their hideout..,178,97,8.8
Tampopo,1985,Comedy,A truck driver stops at a small family-run noodle shop and decides to help its fledgling business. The story is intertwined with various vignettes about the relationship of love and food.,114,100,7.9
The Gold Rush,1925,"Adventure, Comedy, Drama","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",95,98,8.1
A Hard Day's Night,1964,"Comedy, Musical",A behind the scenes look at making a big television commercial.,87,98,7.5
Your Name,2016,"Animation, Drama, Fantasy","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",106,98,8.4
The Pianist,2002,"Biography, Drama, Music","During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",150,95,8.5
