title,year,RT rating,plot,genre,runtime,imdb_rating
Tampopo,1985,100%,A truck driver stops at a small family-run noodle shop and decides to help its fledgling business. The story is intertwined with various vignettes about the relationship of love and food.,Comedy,114 min,7.9
The Gold Rush,1925,98%,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","Adventure, Comedy, Drama",95 min,8.1
A Hard Day's Night,1964,98%,A behind the scenes look at making a big television commercial.,"Comedy, Musical",87 min,7.5
Your Name,2016,98%,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.","Animation, Drama, Fantasy",106 min,8.4
The Pianist,2002,95%,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.","Biography, Drama, Music",150 min,8.5
Tokyo Story,1953,100%,"An old couple visit their children and grandchildren in the city, but receive little attention.",Drama,137 min,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,96%,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.","Adventure, Family, Fantasy",130 min,8.1
Pather Panchali,1955,98%,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Drama,125 min,8.2
The Best Years of Our Lives,1946,98%,"Three World War II veterans, two of them traumatized or disabled, return home to the American Midwest to discover that they and their families have been irreparably changed.","Drama, Romance, War",170 min,8.1
Kind Hearts and Coronets,1949,100%,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,"Comedy, Crime",106 min,8.0
All Quiet on the Western Front,1930,98%,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","Drama, War",152 min,8.1
Spider-Man: Across the Spider-Verse,2023,95%,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.","Animation, Action, Adventure",140 min,8.5
Once,2007,97%,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",Short,5 min,N/A
Witness for the Prosecution,1957,100%,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Crime, Drama, Mystery",116 min,8.4
His Girl Friday,1940,99%,"When a newspaper editor's ace reporter ex-wife is about to quit her job and remarry, he buys himself time to win her back by promising her an exclusive interview with a death row convict.","Comedy, Drama, Romance",92 min,7.8
The Shop Around the Corner,1940,99%,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.","Comedy, Drama, Romance",99 min,8.0
Nights of Cabiria,1957,100%,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Drama,110 min,8.1
Laura,1944,100%,A police detective falls in love with the woman whose murder he is investigating.,"Drama, Film-Noir, Mystery",88 min,7.9
Fanny and Alexander,1982,100%,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Drama,188 min,8.1
The Social Network,2010,96%,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.","Biography, Drama",120 min,7.8
Stalker,1979,100%,A guide leads two men through an area known as the Zone to find a room that grants wishes.,"Drama, Sci-Fi",162 min,8.0
A Man Escaped,1956,100%,A captured French Resistance fighter during World War II engineers a daunting escape from a German prison in France.,"Drama, Thriller, War",101 min,8.2
Army of Shadows,1969,97%,An account of underground resistance fighters in Nazi-occupied France.,"Drama, War",145 min,8.1
"Rome, Open City",1945,100%,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.","Drama, Thriller, War",103 min,8.0
Good Will Hunting,1997,97%,"A therapist counsels Will Hunting, a janitor with a genius IQ.","Drama, Romance",126 min,8.3
La Strada,1954,98%,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Drama,108 min,8.0
Goodfellas,1990,94%,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Biography, Crime, Drama",145 min,8.7
Rebecca,1940,98%,"A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.","Drama, Mystery, Romance",130 min,8.1
The Silence of the Lambs,1991,95%,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime, Drama, Horror",118 min,8.6
The Terminator,1984,100%,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,"Action, Adventure, Sci-Fi",107 min,8.1
Ikiru,1952,98%,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Drama,143 min,8.3
Le Samouraï,1967,92%,"After professional hitman Jef Costello is seen by witnesses, his efforts to provide himself an alibi drive him further into a corner.","Crime, Drama, Thriller",101 min,8.0
Beauty and the Beast,1991,95%,"To save her father, a girl who always puts others before herself promises to live her life in a lavish castle with a strange beast.","Animation, Family, Fantasy",84 min,8.0
Anatomy of a Murder,1959,100%,An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth and will he win his case?,"Drama, Mystery",161 min,8.0
"Monsters, Inc.",2001,96%,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Animation, Adventure, Comedy",92 min,8.1
Eighth Grade,2018,99%,An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,"Comedy, Drama",93 min,7.4
12 Years a Slave,2013,95%,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Biography, Drama, History",134 min,8.1
Pan's Labyrinth,2006,95%,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.","Drama, Fantasy, War",118 min,8.2
